Project Title,Submission Url,Project Status,Judging Status,Highest Step Completed,Project Created At,About The Project,"""Try it out"" Links",Video Demo Link,Opt-In Prizes,Built With,Notes,Team Colleges/Universities,Additional Team Member Count,Body,Electrical,Design,Software
Ground Penetrating Radar Robot for Mining Applications,https://robotech2022.devpost.com/submissions/317555-ground-penetrating-radar-robot-for-mining-applications,Submitted (Gallery/Visible),Pending,Submit,04/02/2022 08:34:10,"Inspiration

There are many inefficiencies inherent to traditional commercial mining practices due to the fact that the majority of them involve the removal of unnecessary waste materials in order to get reach the target material. Not only is this physically damaging to the environments where mining takes place, but it also consumes more resources - especially in terms of energy and fuel -  than are necessary. Our design aims to eliminate such excessive waste from mining. By utilizing ground penetrating radar technology to analyze the mining location before excavation even begins, our robot aims to mine only as much as it needs to be profitable, allowing it to use energy much more effectively than traditional mining methods. This reduction in unnecessary energy usage and damage done to the environment allows mining to be a much more sustainable practice overall.

What it does

Our robot moves about a designated terrain area, and as it does, it utilizes an ultrasonic sensor to survey the terrain directly beneath it. In this model, this sensor detects either the presence or lack of a surface directly below and in front of it. This both keeps it from falling off ledges and acts as a simulation of how ground penetrating technology can be used; although the Arduino ultrasonic sensor and ground penetrating radar both use sonar technology, GPR uses much higher frequency waves so that it is able to analyze materials that aren't directly on the surface.

How we built it

In creating our robot, our team utilized two LAFVIN kits, the smartcar and the 4 degrees of freedom robotic smart arm. The smartcar kit provided us with the materials to build the body of our robot, as well as provided us with the physical and electronic components for the motion system. Our robotic arm simulates the drill or other tool to either mark locations which are suitable for mining, or actually start the mining process right away. 
In addition to the physical electronic components that make up our robot, we also created a software component that simulates that which would be used to analyze the data obtained by the GPR technology. Based on attributes about the land which would theoretically be obtained by the improved sonar technology on the final robot (conductivity, relative permeability, and attenuation), this software uses a regression algorithm to determine what material is most likely beneath the surface.  

Challenges we ran into

The majority of the issues that we ran into were connected to the hardware elements. These included the fact that the holes drilled and screws provided in the LAVFIN kits did not always match up in terms of size and that the motion of the robotic arm had a tendency of loosening the fasteners keeping it together. We were able to work around these by utilizing different parts of the kits than were instructed, but that fit our needs better. We also ran into some challenges during programming our hardware which included the non-uniform strength of the motors resulting in our robot listing instead of driving completely straight. While we attempted to troubleshoot this mechanical error by making sure that weight was equally distributed throughout the body of the robot and by switching the location of the weak motor, we, unfortunately, were unable to completely remedy this mechanical issue.
Probably the single largest challenge that we ran into, though was the shutdown of our Arduino shortly before the end of the competition. While this was ultimately resolved, this is the reason for the lack of finalized video in this submission.

Accomplishments that we're proud of

Our group was very proud of the work that we did to successfully combine the hardware and the software that came from two separate kits. Doing such meant that we had to demonstrate our understanding of the complicated connections between all of the moving parts in the code and the way that it was initially programmed. We even added to and refactored some parts of the code to make it more efficient and as accommodating to our needs as possible

What we learned

During the research phase of this project, our group learned a lot about the sustainability issues that surround many fields and learned quite a bit about current technologies which are used to do analysis of the ground, both physically as in the case of GPR and also some chemical methods which were not directly employed in this project. In addition, we all gained a better understanding of the specific hardware aspects utilized in this project including how Arduino ultrasonic sensors work and their limitations, how to rig a motor controller., and how to construct and coordinate a robotic arm that has many components required to actuate it. There were also many important lessons learned in terms of the general engineering design process and various debugging methods.

What's next for Project

To continue this project, there are improvements that can be made to both the hardware and software aspects; perhaps the single most important would be finding an alternative to the ultrasonic sensor which can actually analyze the materials beneath a surface. Once implemented, this component would allow us to connect our currently separate identification software to the robot. In addition to this module, the exact purpose of the robotic arm needs to be fully fleshed out, allowing us to determine what tool head would be best connected to this: depending on what currently exists in the real market, it may be better for the machine to just mark the places which are best for mining, or perhaps it should digitally document these locations with a camera and GPS positioning, or maybe the drill head is the best idea, and this robot should be responsible for the mining itself, too.
In terms of the identification software, there are many ways in which this could be improved in the future. The most immediately necessary is finding a more robust data set for the samples to be compared to, because there are still many materials, such as precious metals, that would be desirable to know where they are but are not included in the current data set. A user interface that allows the operator to easily change the specifications of a particular material, due to the fact that the properties of a material can change with geographic location and thus the lab-determined values that the program currently runs off of will not always allow the program to make the best judgements, would also be a very useful improvement.
",https://github.com/StochajK/GPR_ArduinoSim,https://youtu.be/BsD-DLzcxpY,"Electrical Track, Software Track, [Texas Instruments] Most Sustainable Hack, [Texas Instruments] Most Creative Hack ","c++, python, arduino",,Northeastern University,2,no,yes,no,yes
GreenJoule,https://robotech2022.devpost.com/submissions/317573-greenjoule,Submitted (Gallery/Visible),Pending,Submit,04/02/2022 09:45:00,"Block Diagram


💡 Inspiration


Energy and human development are inextricably linked.
Individual/non-industrial demand represents 50% of energy end-use.
Long-term greenhouse gas emission development strategies formulated in the Paris Agreement require emissions to peak by 2030.
Emissions are mandated to fall by 13% in 2050 – reducing global temperatures by 2˚C.
Governments and Corporate Institutions have improved their focus on meeting ESG (Environmental, Social, and Governance) goals.
How can we as individuals contribute to this goal?


💪  What it does



We have designed a smart home device that takes information from the power grid about renewable energy contributions and power tariffs. With this information, it decides the optimal charging sequence for household appliances, thereby ensuring that maximum load is present when renewable energy sources have the highest contribution to the grid.

Our system includes a mobile application that takes in the user preferences and communicates with the server to compute the optimal charging sequence using dynamic programming technique. 
The sequence is then transferred over the internet to the controller which sends a signal to the relay via a relay driver to toggle the power flow to an appliance. This appliance can be any high power consuming equipment like a washer, dryer or an electric vehicle.

👷 How we built it



The system was broadly divided into app development, server development and hardware development. The app development was done in Android Studio while the server was developed in Node.js. The hardware consists of ESP32 Wi-Fi MCU, ULN2003 relay driver, and J11531AH12 power relay. To house the relay driver IC we fabricated a PCB with the help of AutoDesk Eagle software on the LPKF ProtoMat PCB Machine.

😨 Challenges we ran into

During the initial stages, we were not sure about how we could gather the renewable energy contribution from the utility providers. This information is not widely available from all providers however, we were able to determine that California Energy Commission provides such data through an API, and hence, we were able to implement our project idea.

As we resolved this and moved on to the hardware design phase, we had difficulties in finding a sufficiently rated relay in terms of input current and output power. We tackled this problem by introducing a relay driver that acted as a buffer and a level-shifter for the relay.

💯 Accomplishments that we're proud of

Households aren't normally targeted for green energy projects due to the fragmented nature of the market. With a product like ours, that can be made accessible in terms of cost and form factor, we believe that we will be able to provide direct ownership to individuals to create a positive impact to the environment and live sustainably. 

We strongly believe that creating change starts from the individuals. In hope of a cleaner future, we are proud of embarking on a journey to ideate and create a prototype that gives individuals direct ownership over their energy consumption.

📗What we learned

As we began ideating for our target market, we were surprised to learn that households' energy consumption, although a massive contributor to greenhouse gas emissions, does not aim toward carbon neutrality. While industries are audited on their Environmental, Social, and Governance metrics to incentivize a carbon-neutral organization, household energy end-use is not. 

This helped us figure out a gap in the market of renewables and aided us in ideating a product for this market. While there are several research works in this domain, commercialization of such ideas requires compliance to strict standards that advocate for consumer safety. 

Since the team has experience in electrical safety with past experience in working on UL-certified products, we were able to navigate this ambiguity and gain confidence on the viability of the prototype.
We are thankful to the GT IEEE team, student mentors as well as sponsor mentors for their valuable feedback in bringing this closer to a minimum viable product. 

💚 What's next for GreenJoule

Reduction in Form factor is critical to the commercialization of such a product. This will involve expanding the product portfolio to cater to various use cases from low- to high-power.
Developing the product with the support of utility providers to improve customer penetration. Since we believe there is improved value to the utility providers as well, a partnership with a utility provider will be mutually beneficial to all the stakeholders.

For developing countries, maintaining grid downtime information to ensure critical tasks are completed before the shutdown will be beneficial to the public. While our product in its present state caters to developed countries, we see significant untapped potential in developing countries by employing machine learning algorithms to predict downtimes and load curves.
",https://github.com/shashankholla/GreenJoule,https://www.youtube.com/watch?v=05S9h7fYPcY,"Electrical Track, Software Track, [Texas Instruments] Most Sustainable Hack, [Texas Instruments] Most Creative Hack , [Texas Instruments] Most Accessible Hack","javascript, android, esp32, arduino, express.js, git",,Georgia Institute of Technology - Main Campus,1,no,yes,no,yes
One Smart Apple,https://robotech2022.devpost.com/submissions/317643-one-smart-apple,Submitted (Gallery/Visible),Pending,Submit,04/02/2022 13:34:47,"Inspiration

Growing up one of the lessons we were taught was to not waste food. This simple lesson has stayed with me throughout my life and has led me to explore what implications this practice has. Through research I learned that food waste actually contributes to a lot more than just the waste of food. Rather wasting food also leads to the waste of various other resources including water and a contribution to gas emissions among others. I wanted to focus on apples specifically since picking and eating apples was the staple snack and fruit of my childhood, it's also easier to begin with a narrower and specific project scope. It is also the example fruit used in many circumstances and even in photos to represent food/fruit as a whole.

What it does

The ""One Smart Apple"" sorting device uses a DA meter, x-ray, and software to identify a variety of characteristics of an apple- size, ripe-ness, blemishes, among other aspects- to determine the potential and most sustainable use of that apple. By taking these factors (and additional facts such as smaller apples can last longer) into account, the device is able to translate that data into an action by the motor further down the conveyor belt to sort the apple into it's corresponding bin. By determining how long the apple lasts or the general quality, the specific apple that fits within the previously established criteria could be sent to it's optimal location be it long term, short term storage, composting (decreases food in landfills), low grade/clearance section level food, etc. This would maximize profits as well as promote sustainability. 

How we built it

The device is comprised of a conveyor belt that transports the apples one by one through the scanner and analyzer. This component is comprised of the DA meter, X-ray detection, and AI software. The data is then process and communicated via Bluetooth signals to the motor component for sorting. Additionally a visual broadcast feature could be added to transfer the data, information, and visuals to a nearby computer screen if desired.
The motor component and bluetooth receiver would be underneath the conveyor belt closer to the bins to control the movement of the rudder like components to allow for sorting.

Challenges we ran into

There was difficulty finding the amount of smart sorting devices currently in use and even apple sorting facilities since these can often be a part of the farm (which makes it difficult to know) or a separate plant. 

Accomplishments that we're proud of

The idea of the process design to utilizing the different characteristics of the apples to send them to different places that would maximize the amount of apples used along with profit. Additionally these efforts contribute to a more sustainable practice and environment. 

What we learned

Food waste contributes to a lot more waste than I previously recognized.
I also learned a lot about the apple industry's farm to fork supply chain components.

What's next for One Smart Apple

The development of the software to process the x-ray and DA meter's data to determine the cutoffs for the different characteristics of the apples (there is literature to support and guide in this process) for sorting. This could include some testing and also a component to adjust the cutoff values if the owner would like to make changes. This would also include the reordering of the bins to the customers liking and even the addition/subtraction of bins based on need (this would have to be reflected in the motor sorting component as well but should be a relatively simple re-design based on need).
Furthermore, another step includes the building of the physical device or like prototype by combining the components mentioned.
","",https://youtu.be/K67Tu0l_p04,"Design Track, [Texas Instruments] Most Sustainable Hack, [Texas Instruments] Most Creative Hack , [Texas Instruments] Most Accessible Hack","photoshop, powerpoint",,Georgia Institute of Technology - Main Campus,0,no,no,yes,no
A.F.K,https://robotech2022.devpost.com/submissions/317647-a-f-k,Submitted (Gallery/Visible),Pending,Submit,04/02/2022 13:47:01,"Inspiration

Each year when I travel to Bangladesh I get old phones from family and friends to redistribute to friends back home. The phones which would otherwise sit unused in drawers or end up in a trash somewhere see use. The first laptop I bought refurbished failed twice on me. After I opened it up to see what was wrong, I realized that the parts that failed were all third party parts that did not originally ship with the computer. I wished then that I had known more about the repair history of the laptop.

What it does

AFK (Accountability, Frugality, Knowledge) is a application which allows consumers and repair shops to log their devices repairs to allow for more transparency and incentivize consumers to purchase or sell more of their used devices. For consumers to use, the application is free though we hope to offer a paid version with business analytics and eBay and Amazon API integration for refurbish and repair stores. In addition to this, it directly links consumers to the documentation they need to repair their own devices they purchase or browse.

How we built it

We used GitHub to document our design process , Figma to create a working mockup, and java initially to create our first prototype.

Challenges we ran into

We ran into difficulty trying to determine the logistics of the pitch. Specifically how to incentivize consumers to tell the truth when registering devices. We initially tried to implement a database with a javafx application and while we were unsuccessful, our mistakes taught us how to setup the database and connect at a basic level.

Accomplishments that we're proud of

We are proud of our mockup and the depth of our solution. We think that it has a real use as a product we ourselves would actually use.

What we learned

We learned about the business aspect of pitching, risk analysis, profitable business models, as well as basic database management with Python.

What's next for A.F.K

In the future we hope to expand our infrastructure for other high value items which create waste. We could try to work directly with first-party refurbishing centers, though this would be difficult as it acts against their interests to sell more devices. We also want to expand our documentation of each device, maybe we could include videos of people replacing the parts or helpful tips for certain devices. It is very common for people removing the screens and keyboard on laptops to accidentally rip the ribbon cables, so if consumers were notified of how to properly remove it for their model it could prevent this.
","https://github.com/FIshWIthLegs9161/robotech-1, https://www.figma.com/proto/g8dR8cBsCW29rN3hGOEhlU/AFK-App?node-id=14%3A441&scaling=scale-down&page-id=0%3A1&starting-point-node-id=14%3A441&show-proto-sidebar=1",https://youtu.be/t7o3oqfVEIw,"Design Track, [Texas Instruments] Most Sustainable Hack, [Texas Instruments] Most Creative Hack , [Texas Instruments] Most Accessible Hack","java, figma",,"University of Georgia, Georgia Institute of Technology - Main Campus",2,no,no,yes,no
Autonomous Swarm Marine Robots,https://robotech2022.devpost.com/submissions/317674-autonomous-swarm-marine-robots,Submitted (Gallery/Visible),Pending,Submit,04/02/2022 14:37:25,"About RoboTech

More Information can be found on their Website


RoboTech is a unique kind of hackathon, focused on building robotics projects with a real world impact. Students will participate in one or more of the competition tracks: Design, Robot Body, Circuitry, and Software. The Design track will be a presentation of your idea to a panel of judges, while the other three will be more traditional hackathon project submissions with a project expo. You are free to participate in only the Design track, only another track, or any combination! This year, RoboTech's challenge is to create a project focused on sustainability.


Our Submission

We are submitting to the Software and Body Track. If you're reading this README, you've probably found your way to our Github page. Our official submission was made to the DevPost page.

The Problem Statement

One of the most detrimental factors to the environment is the pollution and destruction to the oceans and all marine life. Aquatic habitats are incredibly beneficial for the sustainability of the planet since they act as massive carbon sinks and lower overall greenhouse gas emissions.

We've decided to focus on Algae blooms and their impact on lake/pond environments. Algae blooms produce toxins that kill marine animals, contaminate potential drinking water, and even create dead zones in large bodies of water. 

Dead zones are areas in a body of water that have minimal oxygen and aren't capable of supporting marine life. Algae blooms among other climate change stressors have contributed to an approximate 250,000 square kilometers of dead zones on the globe. 

Algae blooms are generated due to excess nitrogen and phosphorus in the water. These chemicals are pumped into the ocean from sewage effluent, manufacturing byproducts, etc.

These blooms block sunlight and consume large amounts of oxygen, and spread very quickly. The toxins produced from blooms are harmful to both humans and marine life.

The Solution

Autonomous Swarm Cleaning Robots: ASCR.

Our strategy will be to deploy a swarm (coordinated fleet) of aquatic rovers to clear out large Algal blooms within a body of water of any size.

There are 2 major components: 


The Supervisor Module
Fleet of Aquatic Drones
 

The supervisor is deployed initially and will survey the immediate surrounding area using a collection of a few sensors, and will plan sub-routines for the fleet of aquatic drones it carries.

Each drone is outfitted with an array of sensors, as well as a scrubbing and storage aparatus to clear out Algae and store it. The drones all have pre-determined cleaning paths organized and managed by the supervisor. Multiple runs are expected due to the small size of the drones and the amount of algae they can hold before needing to come back to the supervisor to expel the collected algae.

The Hardware

A CAD model of an aquatic drone has been created using SOLIDWORKS and showcases the key features our drones will have. These include:


Ultrasonic Sensors to measure depth and proximity to other drones
Water level Sensors to measure water displacement
Electric Motors powering a dual-propeller system for maneuverability


The Software

The software for a simulation was written for the higher-level planning and organization of the drone network. We've offered a graphical simulation depicting a lake full of algae being cleaned by aquatic drones following a pre-determined route written by the supervisor.

We've taken 2 approaches to path-planning:


A* Search Algorithm: Heuristic based search
RRT*: Optimized Random Sampling


We found that our Algae problem was counter-intuitive to a solution like A* Search. Despite being (one of) the best searching algorithms, it struggles with vast open environments and the complexity scales with the number of Algae spots that need to be cleaned up. The algorithm thrives in close quarters, where it can seek optimal paths using it's heuristic as as strong lead on how to bias expansion. In an open environment however, such a heuristic isn't as powerful due to ability for the robot to basically move anywhere!

Code for A* Search can be found in the files:


[pathFind](pathFind.py) -> source code for A* Search
[testingPathFinding](testingPathFinding.py) -> executable script with tunable parameters and random board generation


RRT* is an optimized random sampling algorithm. In essence, random points are sampled given some constraints about the problem and a path is generated to the sampled point. This is repeated up to a certain depth and each layer can bias the generation depending on the state of the problem to improve performance.

Code for RRT* can be found in the files:


[simulation](simulation.py) -> RRT* Implemented into Sim


Within simulation.py, there are many parameters (with documentation!) that can be tuned to better visualize the varying levels of performance that comes with different number of drones, drone speed, RRT depth, etc. Note that being over-generous with the parameters can induce large computations on the PC and may not run fast or at all. However, once you're past the black screen while the paths are being generated, the simulation will keep going until the MAX_DEPTH of paths for each drone are reached. 

Take note of what areas of the lake the drones are more drawn too...

Future Software Goals


 Writing a (exceedingly) clever heuristic function to make A* Search a viable option 
 Implement quadrants to split lake into quadrants for each drone to have their path planned in to improve performance 
 Incorporate threading to boost performance 
 Implement more GUI features to improve interactivity with parameters 
 Write more documentation because you can never have too much docs 


Running our code

Currently, our latest driving code is in simulation.py. Run the file in order to see the simulation being output on the GUI built using the pygame library
",https://github.com/Sharwin24/RoboTech,https://www.youtube.com/watch?v=irKteNY1Mms,"Body Track, Software Track, [Texas Instruments] Most Sustainable Hack, [Texas Instruments] Most Creative Hack , [Texas Instruments] Most Accessible Hack","solidworks, python",,"Northeastern University, Georgia Institute of Technology - Main Campus",3,yes,no,no,yes
TEST,https://robotech2022.devpost.com/submissions/317736-test,Submitted (Gallery/Visible),Pending,Submit,04/02/2022 16:25:04,"Inspiration

What it does

ndslnsdvlndlknf

What we learned

What's next for TEST
","",http://youtube.com/playlist?list=PL4xqRMQ2GXanl6WC9u8TMZaDGgVnO2MeI,"Design Track, [Texas Instruments] Most Creative Hack ",java,,Georgia Institute of Technology - Main Campus,0,no,no,yes,yes
Mitigating Soil Pollution in Agriculture using Robotics,https://robotech2022.devpost.com/submissions/317740-mitigating-soil-pollution-in-agriculture-using-robotics,Submitted (Gallery/Visible),Pending,Submit,04/02/2022 16:40:13,"Inspiration

Farming and agricultural backgrounds in an ever growing society

What it does

Test for soil pollution in agricultural settings by using an autonomous robotic platform. 

How we built it

SolidWorks and other CAD software

Challenges we ran into

Costs, integration of various software's, making the product scalable to a larger market.

Accomplishments that we're proud of

A complete CAD model coupled with a strong market analysis that shows the products need in maintaining sustainable agricultural practices. 

What we learned

How to combine backgrounds from different educational disciplines to construct a well-rounded, marketable product.  

What's next for Mitigating Soil Pollution in Agriculture using Robotics

Scaling up the product and performing testing on a completed design!
","",https://youtu.be/NtuNpGrEo00,"","solidworks, autodesk, keyshot",,"University of Florida, Georgia Institute of Technology - Main Campus, Purdue University",2,no,no,yes,no
Test ,https://robotech2022.devpost.com/submissions/317743-test,Submitted (Gallery/Visible),Pending,Submit,04/02/2022 17:01:42,"Inspiration

What it does

How we built it

Challengesdnclsdv we ran into

Accomplishments that we're proud of

sdv,nslv

What we learned

What's next for Test
","",https://www.youtube.com/watch?v=UNnKAk79wws,"",pyth,,Georgia Institute of Technology - Main Campus,0,no,no,no,no
After Market Autonomous Vehicle Kit,https://robotech2022.devpost.com/submissions/317744-after-market-autonomous-vehicle-kit,Submitted (Gallery/Visible),Pending,Submit,04/02/2022 17:01:51,"Inspiration:

Historian Mark Foster has estimated that “fully one-third of the total environmental damage caused by automobiles occurred before they were sold and driven.” He cited a study that estimated that fabricating one car produced 29 tons of waste and 1,207 million cubic yards of polluted air. Increasing the longevity of a vehicle by retrofitting it with technology that would otherwise create demand for new vehicles ultimately reduces the environmental impact of the industry. Less demand means less production, less production means less pollution, and less pollution means a greener earth.

What it does:

It is an aftermarket kit that you can install into your vehicle to have it drive autonomously. The autonomous functions enabled by the kit do not impede on the drivers ability to operate the vehicle manually as well. 

How we built it:

We got a Logitech Racing Simulator and Vex Robotics parts and assembled the Vex Parts to fit to the station. In it is 3 mechanisms, the wheel, the stick shift, and the pedals. One moves the stick shift, one steers the steering wheel, and the last presses the pedals.

Challenges we ran into:

Time limit. Doing all of this from Friday night to Sunday morning has been brutal on us physically and mentally. We had people programming, building, and designing all at once. Making sure we all were on the same track was very important otherwise we may have gotten in each others way. 

Accomplishments that we're proud of:

We are all very proud of pursing such a big project in such little time. If it were not for each one of us we would not have gotten this far with this project. Finally, that the project is finished, it functions, and it functions well is an accomplishment in itself.

What we learned:

We learned a lot of mechanical systems to complete this project. We had to learn about 5 bar linkages. We had to learn a bit of C++ to program everything. We have to get and learn a different 3d printing slicer to print a custom piece in the steering mechanism. That and we learned how to use Vex parts with other non-Vex parts. Normally we just use Vex metal or motors with itself because that is how its intended to be used. But with this we had to find a way to use it with the Logitech Racing Simulator.

What's next for After Market Autonomous Vehicle Kit:

Perfecting it. Because we had a limited time frame for working we'd definitely want to spend a bit more time making the system work smoothly. From there brainstorming how it could be better after having a proof of concept. 
",https://docs.google.com/presentation/d/1K6qvJBx44KpzXMzRSn-aB30_ebtQgUpVoBl9e8mWZBE/edit?usp=sharing,https://youtu.be/7qVUx9x-RW8,"Body Track, Design Track, [Texas Instruments] Most Sustainable Hack, [Texas Instruments] Most Creative Hack , [Texas Instruments] Most Accessible Hack","c++, creality, solidworks, vexkit, logitechracingsimulator",,"Kennesaw State University, Georgia Institute of Technology - Main Campus",3,yes,no,yes,no
I. SAC,https://robotech2022.devpost.com/submissions/317745-i-sac,Submitted (Gallery/Visible),Pending,Submit,04/02/2022 17:06:16,"Inspiration

It is finally the weekend, and you finally have the time to head out for a long-awaited shopping trip. At the start of the shopping adventure, everything seems perfectly fine. However, as you put more and more goodies into the shopping cart, the cart becomes heavier and clumsier. At this moment, you hope that you no longer need to push the cart, but the cart of goodies will follow you automatically, you can then leave the burden of their behind and indulge in your shopping adventure! 

What it does

I.SAC (Intelligent Shopping Assistance Cart) enables shoppers to shop with their hands off the shopping cart. I.SAC is a next generation shopping cart that allows shoppers to go around the store, putting all their goodies into a shopping that follows them around. 
With I.SAC’s automated tracking system, customers do not need to push their cart while shopping, but simply let the cart follow them. The integration of object tracking, detection and avoidance allows I.SAC to create a safer shopping environment for customers, avoiding accidents such as carts bumping into customers or the loss of control of carts.
For parent shoppers, I.SAC will enable them to pay more attention to their child/children, as it alleviates their need to control and keep an eye on the shopping cart. With children nearby, parents can shop more easily and do not need to face the situation where that must leave their child and cart unattended in order to grab something, just because the cart with their children is not easy to push into the aisle.
For elder or disable shoppers, I.SAC enables these customers to shop without needing to push the cart. Unlike traditional shopping carts, I.SAC will dynamically follow the customer, keeping a safety distance between itself and the customer, so that the shopping cart will never bump into any person or things. With this object detection feature, customers could rely on I.SAC and enjoy more in their shopping. 

How we built it

As a prototype, we use two different robots to represent our customer and I.SAC shopping scenario. To mimic real customer behavior, we built a robot car with Arduino. The robot moves randomly around representing the customer, checking out different items and stopping here and there. As for I.SAC, we implemented Turtlebot3 with ROS (robot operating system) to realize object following and obstacle avoidance. 
For I.SAC (Turtlebot3), the shopping cart will first establish a connection between itself and the customer (IR remote car). The connection for our initial prototype is that I.SAC will recognize the customer and start following them. Before the customer finish shopping, the robot will consistently follow the customer wherever they go. If a pedestrian or obstacle appears in I.SAC’s way, I.SAC will stop immediately and go around the obstacle to avoid any collision. 

Challenges we ran into

Some of the major challenges we faced include how to accurately detect different objects and to implement obstacle avoidance with the use of camera and Lidar. For object detection, when the environment condition changes (brightness, background surroundings), it is difficult for the robot to accurately track the desired object. As for object avoidance, the robot will need to go around the obstacle, but could not go out of bound from the original track. 

Accomplishments that we're proud of

With I.SAC, we are able to realize the concept of shopping without needing to push a shopping cart by ourselves. I.SAC allows us to shop without our hands on the shopping cart and to enjoy shopping in a safer and more reliable environment.

What we learned

During implementation, we learned that sometimes an easy task for humans may be exceedingly difficult when it comes to robots. To solve this kind of problem, we will need to divide the problem into different sub-problems. After getting all the sub-problems to function correctly, we could then begin to combine all the parts together. This way, we could be able to break down a large and challenging task into smaller tasks, to divide and conquer, and eventually cumulate all of them together to solve the original problem.

What's next for I. SAC

For the next step of I.SAC, we are going to implement a full-scale prototype and to apply indoor positioning systems on to I.SAC. We will be able to use the indoor positioning system and the camera to track and follow the customer and to avoid obstacles. This will also allow us to take out the Lidar sensor and cut down the cost of each I.SAC.
","",https://youtu.be/FS7lCo05tY4,"","python, ros, turtlebot, arduino",,Georgia Institute of Technology - Main Campus,2,no,no,no,yes
TEST 3,"",Draft,Pending,Project overview,04/02/2022 17:21:40,"","",,"","",,Georgia Institute of Technology - Main Campus,0,"","","",""
Lawn Mover,https://robotech2022.devpost.com/submissions/317752-lawn-mover,Submitted (Gallery/Visible),Pending,Submit,04/02/2022 17:23:11,"Inspiration

sdfkklsdvdsd

What it does

lkdnsvndsv

How we built it

Challenges we ran into

LAWN MOWER

Accomplishments that we're proud of

What we learned

What's next for Lawn Mover
","",https://www.youtube.com/watch?v=fb3mDCL7m_M,Design Track,java,,Georgia Institute of Technology - Main Campus,0,no,no,yes,no
FPGA stuff,https://robotech2022.devpost.com/submissions/317769-fpga-stuff,Submitted (Gallery/Visible),Pending,Submit,04/02/2022 17:56:19,"Inspiration

Since we have written a lot of Verilog codes, we decide to utilize the convenience that Vivado brought to us, the block diagram. Making some libraries regarding AI applications may be useful.

What it does

It is an easy-to-use block. Just place it in the block diagram and auto-wire, then everything should supposedly done.

How we built it

We built the block through HLS instead of hand-written since we wanted to make sure we have explored more solution space. Then, we build up a wrapper just to make it easy to use.

Challenges we ran into

Debugging HLS is actually very time-consuming.

Accomplishments that we're proud of

It may have worked? 

What we learned

HLS is hard.

What's next for FPGA stuff

Making up more library stuff is possible.
","",https://www.youtube.com/watch?v=H9SR-FDbajY,Electrical Track,verilog,,Georgia Institute of Technology - Main Campus,1,no,yes,no,no
TinyML for smart devices,https://robotech2022.devpost.com/submissions/317788-tinyml-for-smart-devices,Submitted (Gallery/Visible),Pending,Submit,04/02/2022 18:26:13,"Inspiration

Training a single AI model can emit as much carbon as five cars in their lifetimes

What it does

First we quantize a machine learning model to make it low power. Then we load the model on the Arduino and by using a tiny camera, we can do detection, like handwritten digit classification

How we built it

We used a tiny camera and Arduino nano 33 IOT.

Challenges we ran into

My device is very low power and I can use PV cells as the source of power, but The PV cells has not delivered on time.

Accomplishments that we're proud of

Enable Ml algorithm and AI to be run on resource constrained edge devices. 

What we learned

How to code in ardiono

What's next for Always-on TinyML

Adding solar cell for the source of energy. 
","",https://www.youtube.com/watch?v=txDfqh8Ul_8,Design Track,"arduino, c++, tensorflow, python",,Georgia Institute of Technology - Main Campus,0,no,no,yes,no
